titulo,preco,preco_antigo,marca,tamanho,imagem,url,likes,tag,anomesdia_particao,categoria
almofada de massagem shiatsu relaxmedic bivolt,R$ 229,R$ 229,relaxmedic,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMTY2NjcwNi85ZTA4MmE3ZGVjYTkxZjNkOWNiMzg1ZTA3MTJhZjFkOS5qcGc,https://www.enjoei.com.br/p/almofada-de-massagem-shiatsu-relaxmedic-bivolt-144005512?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=9,2,21%,20260710,eletronicos
gabinete para computador (cpu) - ideal para montagem ou substituição,R$ 120,R$ 120,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yMTUxNTkzMS9iMDFmOWFmNzFmMDMwZTU1YTdhZGE2YjIxNDEzYTY1MC5qcGc,https://www.enjoei.com.br/p/gabinete-para-computador-cpu-ideal-para-montagem-ou-substituicao-145749049?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=10,0,7%,20260710,eletronicos
monitor positivo 14 polegadas,R$ 120,R$ 120,positivo.,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy82NDUwMzU4L2E1ODhiNGE2MDkwOWE3OGZhNjFiNWJhYjFmZWI5N2IzLmpwZw,https://www.enjoei.com.br/p/monitor-positivo-14-polegadas-145103068?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=11,0,13%,20260710,eletronicos
power bank magnético 10000 mah,R$ 130,R$ 130,powerbank,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy82OTk5NjczLzRiNDRhY2U2MTRhNjNmMzYyODU2ZWMxZTYxZDdmZDY0LmpwZw,https://www.enjoei.com.br/p/power-bank-magnetico-10000-mah-144024661?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=12,0,12%,20260710,eletronicos
secador de cabelo tomate profissional vermelho,R$ 195,R$ 195,tomate,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zMTEyMTc5MC9iZjhkOWU4OTYyNzMzMTU1NjgzMzEzNjA0OTUzNmNlOS5qcGc,https://www.enjoei.com.br/p/secador-de-cabelo-tomate-profissional-vermelho-143828050?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=13,1,22%,20260710,eletronicos
console sega mega drive não funciona,R$ 224,R$ 224,sega,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0NDI3NS84MzJiOGQ3ZDVmZWFmNTkzN2U2ZjRhNmYyMWJkOTcyNS5qcGc,https://www.enjoei.com.br/p/console-sega-mega-drive-nao-funciona-143004125?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=14,3,13%,20260710,eletronicos
tablet positivo 7 polegadas,R$ 250,R$ 250,positivo.,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjEzNTE5My84MTRiMjUxZjA5ODAwZGU0NmQ2YjdiYzY1MTZmMDYzMi5qcGc,https://www.enjoei.com.br/p/tablet-positivo-7-polegadas-141305206?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=15,6,22%,20260710,eletronicos
case magnética para mi pad 5 e 5 pro 11pol,R$ 200,R$ 200,case para mi pad 5 e 5pro 11pol,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMTc0Njk2Ny81OWViNmQzN2ZmMzU4ZjE1MWQ2N2NmOTAzZjdjYmQ0Yi5qcGc,https://www.enjoei.com.br/p/case-magnetica-para-mi-pad-5-e-5-pro-11pol-109335502?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=16,0,31%,20260710,eletronicos
projetor astronauta usb bluetooth,R$ 120,R$ 120,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yNzkwOTE4Mi82NmU1MzljZmViNjM3MGZjODlkM2MyOWI4MGVhNzFlOC5qcGc,https://www.enjoei.com.br/p/projetor-astronauta-usb-bluetooth-146041867?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=17,0,3%,20260710,eletronicos
flash pentax af160sa,R$ 100,R$ 100,pentax,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy85NjE1NDQxLzU1NWNlZDA2NzA0YWU4ZGJkMzQ4NzFlYjUwM2EwY2M3LmpwZw,https://www.enjoei.com.br/p/flash-pentax-af160sa-145716221?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=18,1,6%,20260710,eletronicos
