preco,preco_antigo,marca,likes,anomesdia_particao,categoria,fl_item_ativo
750,750,meteoro,0,20260709,Eletrônicos,1.0
185,0,potensic,0,20260709,Eletrônicos,1.0
200,200,toys candide,1,20260709,Eletrônicos,1.0
55,55,mitsuca,4,20260709,Eletrônicos,0.0
70,70,sony,2,20260709,Eletrônicos,1.0
120,0,olympia,1,20260709,Eletrônicos,1.0
300,300,garmin,0,20260709,Eletrônicos,1.0
85,0,xbox one,1,20260709,Eletrônicos,1.0
299,299,pny,0,20260709,Eletrônicos,1.0
2350,0,fujifilm,0,20260709,Eletrônicos,1.0
650,0,adata,0,20260709,Eletrônicos,1.0
285,285,teclado para tablet,4,20260709,Eletrônicos,1.0
2900,0,sony,0,20260709,Eletrônicos,1.0
139,139,lucasarts,6,20260709,Eletrônicos,1.0
1100,0,apple,0,20260709,Eletrônicos,1.0
1900,0,apple,7,20260709,Eletrônicos,0.0
4500,4500,apple,8,20260709,Eletrônicos,1.0
150,0,positivo.,0,20260709,Eletrônicos,1.0
30,30,sem  marca,4,20260709,Eletrônicos,1.0
15,15,sem  marca,0,20260709,Eletrônicos,1.0
45,0,sem  marca,0,20260709,Eletrônicos,1.0
150,0,golden,0,20260709,Eletrônicos,1.0
320,320,samsung,1,20260709,Eletrônicos,1.0
130,130,suporte para celular articulado.,7,20260709,Eletrônicos,1.0
989,0,apple,0,20260709,Eletrônicos,1.0
499,499,motorola,0,20260709,Eletrônicos,1.0
60,60,zap!!!!,0,20260709,Eletrônicos,1.0
50,0,crystalarmor,0,20260709,Eletrônicos,0.0
40,0,atomex,0,20260709,Eletrônicos,1.0
280,0,tomate,8,20260709,Eletrônicos,1.0
450,0,apple,1,20260709,Eletrônicos,1.0
1050,1050,samsung,7,20260709,Eletrônicos,1.0
1200,1200,atgames,2,20260709,Eletrônicos,1.0
1200,0,samsung,1,20260709,Eletrônicos,1.0
109,109,pioneer,2,20260709,Eletrônicos,1.0
80,0,nintendo,9,20260709,Eletrônicos,1.0
200,0,microprose,0,20260709,Eletrônicos,1.0
300,0,cd expert,0,20260709,Eletrônicos,1.0
389,0,ea sports,0,20260709,Eletrônicos,1.0
300,0,ea sports,0,20260709,Eletrônicos,1.0
500,0,microsoft,0,20260709,Eletrônicos,1.0
86,0,samsung,0,20260709,Eletrônicos,1.0
700,0,apple,4,20260709,Eletrônicos,1.0
380,0,apple,6,20260709,Eletrônicos,1.0
25,25,controle real,0,20260709,Eletrônicos,1.0
2150,2150,meta,1,20260709,Eletrônicos,0.0
3300,0,apple,8,20260709,Eletrônicos,0.0
129,0,m 11,0,20260709,Eletrônicos,1.0
250,0,samsung,0,20260709,Eletrônicos,1.0
180,180,bml,0,20260709,Eletrônicos,1.0
250,0,mitsuca,0,20260709,Eletrônicos,1.0
35,0,sem  marca,0,20260709,Eletrônicos,1.0
140,0,sem  marca,1,20260709,Eletrônicos,1.0
70,0,mondial,5,20260709,Eletrônicos,1.0
3850,0,canon,6,20260709,Eletrônicos,1.0
1200,1200,tectoy,6,20260709,Eletrônicos,1.0
100,0,samsung,0,20260709,Eletrônicos,1.0
1400,0,positivo.,0,20260709,Eletrônicos,1.0
455,455,apple,1,20260709,Eletrônicos,1.0
1900,0,nikon,1,20260709,Eletrônicos,1.0
61,61,sony,1,20260709,Eletrônicos,1.0
750,0,lenovo,2,20260709,Eletrônicos,1.0
232,232,alcatel,2,20260709,Eletrônicos,1.0
450,0,square enix,1,20260709,Eletrônicos,1.0
100,100,microsoftt,0,20260709,Eletrônicos,1.0
5750,0,apple,0,20260709,Eletrônicos,1.0
2786,2786,apple,1,20260709,Eletrônicos,1.0
69,0,apple,0,20260709,Eletrônicos,1.0
1000,1000,sony,8,20260709,Eletrônicos,1.0
18000,0,canon,1,20260709,Eletrônicos,1.0
149,0,playstation  3,0,20260709,Eletrônicos,1.0
780,0,nintendo,3,20260709,Eletrônicos,1.0
120,0,sony,2,20260709,Eletrônicos,1.0
220,0,activision,3,20260709,Eletrônicos,1.0
150,0,nintendo,4,20260709,Eletrônicos,1.0
60,0,activision,2,20260709,Eletrônicos,1.0
109,0,nintendo,5,20260709,Eletrônicos,1.0
50,0,apple,0,20260709,Eletrônicos,1.0
500,0,microsoft,6,20260709,Eletrônicos,1.0
269,0,edifier,1,20260709,Eletrônicos,1.0
60,0,sem  marca,1,20260709,Eletrônicos,1.0
1100,1100,sony,0,20260709,Eletrônicos,1.0
600,600,game boy,2,20260709,Eletrônicos,1.0
324,324,sega,2,20260709,Eletrônicos,1.0
100,100,blü,1,20260709,Eletrônicos,1.0
365,365,sony,2,20260709,Eletrônicos,1.0
59,59,sandisk,3,20260709,Eletrônicos,1.0
100,0,star game,0,20260709,Eletrônicos,1.0
350,350,hp,0,20260709,Eletrônicos,1.0
1890,1890,nintendo,5,20260709,Eletrônicos,1.0
712,712,casio,3,20260709,Eletrônicos,1.0
290,290,casio,4,20260709,Eletrônicos,1.0
950,0,samsung,2,20260709,Eletrônicos,1.0
1250,0,sony,2,20260709,Eletrônicos,0.0
1100,1100,motorola,2,20260709,Eletrônicos,1.0
785,785,apple,5,20260709,Eletrônicos,1.0
89,89,gameboy,4,20260709,Eletrônicos,1.0
79,0,sony,3,20260709,Eletrônicos,1.0
399,399,nintendo - game & watch,2,20260709,Eletrônicos,1.0
640,0,hitachi,0,20260709,Eletrônicos,1.0
600,0,amazon.,7,20260709,Eletrônicos,1.0
199,199,game boy,4,20260709,Eletrônicos,1.0
72,0,sandisk,0,20260709,Eletrônicos,1.0
